run,seed,eval,test_wind,success_rate,vy,abs_x,tilt_deg,fuel_kg
phase1_ppo,0,eval,,1.0,-0.3514787077866945,0.9232485314521128,0.714919423990462,1280.4186537927917
phase1_ppo,1,eval,,0.67,-1.7435651918054755,1.4712045558175542,0.5877981600354015,2787.410496535497
phase1_ppo,2,eval,,0.0,-4.64342390494139,1.2697886651956878,1.8371019503213495,1922.7172666571641
phase1_ppo,3,eval,,1.0,-1.7925288061370592,1.9965355863793375,0.09558369453204786,2329.121744527545
phase1_ppo,4,eval,,1.0,-0.5934661436348435,1.9904369859364506,0.6577672495364638,944.7939643270583
phase1_sac,0,eval,,1.0,-0.5351402864506032,1.3350310503705944,2.7791545894685,2477.143982309854
phase1_sac,1,eval,,1.0,-0.2646203731946662,2.893621970323924,0.7362301971129506,2728.2418743757858
phase1_sac,2,eval,,0.82,-1.8695098382424606,3.818552851282259,1.3957725339638398,2608.078490612905
phase1_sac,3,eval,,0.98,-0.31060808682524,1.7485712148294206,2.836871585381031,1475.4855072471116
phase1_sac,4,eval,,1.0,-0.8647392708388186,2.7988899825714513,2.770003834462662,2142.0330089921426
phase2_ppo_gimbal,0,eval,,1.0,-0.5504705456987135,2.0495727126180547,0.6882042965345688,995.224772870443
phase2_ppo_gimbal,1,eval,,1.0,-2.038076022492482,2.8679379622810104,0.6089517972496047,2166.3760301460115
phase2_ppo_gimbal,2,eval,,1.0,-0.4960856812467547,1.8867624956625457,2.1683657121126587,1282.730021509115
phase2_ppo_gimbal,3,eval,,0.98,-1.0607274079355238,4.1186346138517544,0.7567860528908058,2809.9088416121663
phase2_ppo_gimbal,4,eval,,1.0,-0.4002068359555574,2.800323926488074,0.64728416583314,927.8827857547958
phase2_ppo_mass,0,eval,,1.0,-0.25863809403519006,2.286454718329216,0.5620783278952953,921.1997576893029
phase2_ppo_mass,1,eval,,0.9,-2.2858927659012225,3.042009847744668,0.29376665680059827,2175.843032624501
phase2_ppo_mass,2,eval,,1.0,-0.4574305064853073,2.65239261299873,0.5698390122758612,809.7295319384465
phase2_ppo_mass,3,eval,,1.0,-1.741891325949658,1.7310913603321851,0.16815375916684025,2203.228369318056
phase2_ppo_mass,4,eval,,1.0,-0.387328323338565,2.442641939138775,0.8864795145671639,808.392982350559
phase2_ppo,0,eval,,1.0,-0.4086859937200175,1.6406728242251787,0.6022072163854691,1053.8867460982483
phase2_ppo,1,eval,,0.0,,,,2783.0415212538205
phase2_ppo,2,eval,,0.0,,,,555.1772899681583
phase2_ppo,3,eval,,0.91,-1.1517752329094828,3.1350443715315284,1.0452440159319516,2582.9751903209326
phase2_ppo,4,eval,,1.0,-0.33361313609400006,2.906599217325404,0.3917888609947514,931.9354941078913
phase2_ppo_wind,0,eval,,1.0,-0.3779505673027025,1.378345516925753,0.8795599949711291,783.3649444497471
phase2_ppo_wind,0,eval_wind0,0.0,1.0,-0.3831767607564764,1.1014749694745078,0.8510753987921725,783.5599908548018
phase2_ppo_wind,0,eval_wind10,10.0,1.0,-0.3352554197169805,2.5475397243730034,1.1113813072405454,778.2253932076854
phase2_ppo_wind,0,eval_wind12.5,12.5,1.0,-0.39387108141423416,3.7259753852501007,1.5317512059146197,783.1843688585002
